Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Variant Inventory Tracker,Cost per Item,Variant Inventory Qty,Variant Price,Status,Variant SKU,Option1 Name,Option1 Value,Option1 Linked To,Published
,60's Single Stitch Yellow Graphic Tshirt,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Brown and Black Gianni Blouse ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Black and White Pattern Button Down ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Multi Pattern Button Down,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Black and White Vintage Silk Flowy Top,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Thierry Mugler Black Halter Neck Dress,,Thierry Mugler,,,2026_06_01,shopify,300,1,,,,,,,
,Vintage Pink and Tan Snakeskin Flowy Halter Neck Top,,Vintage ,,,2026_06_01,shopify,30,1,,,,,,,
,Celine Blue Off The Sholder Blouse ,,Celine ,,,2026_06_01,shopify,115,1,,,,,,,
,D&G 1990s Black Wool Blend Trousers ,,Dolce and Gabbana ,,,2026_06_01,shopify,125,1,,,,,,,
,Vintage White and Cream Fringe Shawl ,,Vintage ,,,2026_06_01,shopify,30,1,,,,,,,
,Lolita Lempicka Cream Blazer and Midi Skirt Set ,,Lolita Lempicka ,,,2026_06_01,shopify,75,1,,,,,,,
,Ralph Lauren White Linen  Lace Up Trousers ,,Ralph Lauren ,,,2026_06_01,shopify,75,1,,,,,,,
,Vintage Cream Button Down ,,Vintage ,,,2026_06_01,shopify,48,1,,,,,,,
,Moschino White Linen Pleated Skirt Set,,Moschino ,,,2026_06_01,shopify,145,1,,,,,,,
,Vintage 80's Yolanda Lorente Red Silk Top ,,Vintage ,,,2026_06_01,shopify,75,1,,,,,,,
,80's Vintage Suede Fringe Jacket ,,Vintage ,,,2026_06_01,shopify,125,1,,,,,,,
,Vintage Teal High Neck Knit Top ,,Vintage ,,,2026_06_01,shopify,36,1,,,,,,,
,Miss Sixty Open Back Black and Teal Beaded Top ,,Miss Sixty ,,,2026_06_01,shopify,40,1,,,,,,,
,80's White and Pink Sequin Maxi Dress,,Vintage ,,,2026_06_01,shopify,125,1,,,,,,,
,Vintage Acetate Black Opera Coat,,Vintage ,,,2026_06_01,shopify,135,1,,,,,,,
,60's Vintage Surf & Cycle Yellow Graphic Thrashed Tee,,Vintage ,,,2026_06_01,shopify,40,1,,,,,,,
,Cache Gold Sparkly Tank Top ,,Cache ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Black Midi Dress ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Navy Polka Dot Button Down Dress,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Studio 1940 Black and Pink Muti-Color Wrap Top,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Gina Bacconi Sheer Black Button Down ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Black Tie Cow Neck Dress ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Vintage Black Asymmetrical Dress,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,White Vintage Slip Skirt ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Pink Vintage Midi Slip Skirt ,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Thalia Sodi Red Sheer Dress,,Vintage ,,,2026_06_01,shopify,,1,,,,,,,
,Celine Orange Cutout Sandal Heels ,,Celine ,,,2026_06_01,shopify,115,1,,,,,,,
,Escada Exotics Slingback Linen Embelished Heels ,,Escada ,,,2026_06_01,shopify,115,1,,,,,,,
